val_start,val_end,test_start,test_end,r2_val,mse_val,mse_test,r2_test,method,best_alpha,best_l1_ratio,huber_val,optimal_components
2003-01-31,2015-01-30,2015-02-27,2016-01-29,0.04755600355880185,0.01738815911358691,0.014794735877537437,-0.1761518410287044,OLS,,,,
2004-02-27,2016-01-29,2016-02-29,2016-12-30,-0.19000225011780447,0.016571077954626687,0.015574218095398284,0.6236401444251194,OLS,,,,
2005-01-31,2016-12-30,2017-01-31,2017-12-29,-0.03783241013404215,0.016777293952578338,0.011587656786942813,-0.06698594799856572,OLS,,,,
2006-01-31,2017-12-29,2018-01-31,2018-12-31,-0.005780133449762026,0.01686393098604567,0.014686133778166311,-2.0934451384628128,OLS,,,,
2007-01-31,2018-12-31,2019-01-31,2019-12-31,-0.1264049686015456,0.01726405148711869,0.018188678975484592,0.3689313945786754,OLS,,,,
2008-01-31,2019-12-31,2020-01-31,2021-01-29,0.04111823684470606,0.017934999292437255,0.04013495315070351,0.38747077616322345,OLS,,,,
2003-01-31,2015-01-30,2015-02-27,2016-01-29,0.030799392953428928,0.017391074165983438,0.01477400810565332,-0.03580270328289448,OLS_H,,,,
2004-02-27,2016-01-29,2016-02-29,2016-12-30,-0.15279242964389983,0.016564923579719986,0.015581383088046538,0.5779215803589199,OLS_H,,,,
2005-01-31,2016-12-30,2017-01-31,2017-12-29,-0.010649238622906232,0.016772735076720894,0.01158497178080913,-0.04379916606416234,OLS_H,,,,
2006-01-31,2017-12-29,2018-01-31,2018-12-31,0.014611688077037499,0.01686049232209596,0.01466235210429744,-1.928122320823622,OLS_H,,,,
2007-01-31,2018-12-31,2019-01-31,2019-12-31,-0.09542091366803174,0.01725870913691827,0.018188738936269582,0.36860295087526307,OLS_H,,,,
2008-01-31,2019-12-31,2020-01-31,2021-01-29,0.05818027992932073,0.017931937956363338,0.04016826001071292,0.3048051616405534,OLS_H,,,,
,,2015-02-27,2016-01-29,-0.3204007755845506,0.017452170465054172,0.01477635325287729,-0.051681852890062,EN,0.1,0.5,,
,,2016-02-29,2016-12-30,-0.30709449651713516,0.016590444604984895,0.015747693752038813,-0.4832776587604837,EN,0.1,0.5,,
,,2017-01-31,2017-12-29,-0.5142938459934188,0.016857201057459498,0.011666660773723518,-0.7492369829039891,EN,0.1,0.5,,
,,2018-01-31,2018-12-31,-0.1667346639649514,0.01689107267816464,0.014541878131631191,-1.0906246441171774,EN,0.1,0.5,,
,,2019-01-31,2019-12-31,-0.32653987215067737,0.017298559260371167,0.018219744268958976,0.19876684389493748,EN,0.1,0.5,,
,,2020-01-31,2021-01-29,-0.7088704845575222,0.018069565095399677,0.03997545447061052,0.7833368650625339,EN,0.1,0.5,,
,,2015-02-27,2016-01-29,-0.32653281826620084,,0.014768118257145918,0.004077857159823228,EN_H,0.1,0.5,0.008720470621999672,
,,2016-02-29,2016-12-30,-0.29838373591235534,,0.015747239945393603,-0.48038199798297043,EN_H,0.1,0.5,0.00828838241347402,
,,2017-01-31,2017-12-29,-0.4829636601258125,,0.011662862892406494,-0.7164397967799552,EN_H,0.1,0.5,0.008418789234437937,
,,2018-01-31,2018-12-31,-0.18005028973566706,,0.014515059463703548,-0.9041895861151783,EN_H,0.1,0.5,0.008438555013320225,
,,2019-01-31,2019-12-31,-0.3154823429591058,,0.018225708640557593,0.1660961525967508,EN_H,0.1,0.5,0.008639584457053795,
,,2020-01-31,2021-01-29,-0.6737294572530805,,0.03998777637125437,0.7527546520132433,EN_H,0.1,0.5,0.009022280930945172,
,,2015-02-27,2016-01-29,,,0.014807082874901286,-0.25975419073875905,PCR,,,,7.0
,,2016-02-29,2016-12-30,,,0.015458410533571368,1.3625879277175956,PCR,,,,7.0
,,2017-01-31,2017-12-29,,,0.011518402164426613,0.5310729577477136,PCR,,,,7.0
,,2018-01-31,2018-12-31,,,0.014568429917481425,-1.27520442072655,PCR,,,,7.0
,,2019-01-31,2019-12-31,,,0.018134593682571806,0.6651912568809815,PCR,,,,7.0
,,2020-01-31,2021-01-29,,,0.04016262886929751,0.31878131446425595,PCR,,,,7.0
