test_start,test_end,architecture,test_r2,test_mse
2015-02-27,2016-01-29,nn1,-0.8096695,0.014888298697769642
2015-02-27,2016-01-29,nn2,-0.75017214,0.01487951073795557
2015-02-27,2016-01-29,nn3,-0.9946346,0.014915615320205688
2015-02-27,2016-01-29,nn4,-0.5239248,0.01484609767794609
2015-02-27,2016-01-29,nn5,-0.9139657,0.014903700910508633
2016-02-29,2016-12-30,nn1,0.7519901,0.015554103069007397
2016-02-29,2016-12-30,nn2,0.5845189,0.015580348670482635
2016-02-29,2016-12-30,nn3,0.97566843,0.01551904808729887
2016-02-29,2016-12-30,nn4,1.1823118,0.01548666413873434
2016-02-29,2016-12-30,nn5,1.1042297,0.015498899854719639
2017-01-31,2017-12-29,nn1,0.40626526,0.011532855220139027
2017-01-31,2017-12-29,nn2,0.5049825,0.011521423235535622
2017-01-31,2017-12-29,nn3,0.45380592,0.0115273492410779
2017-01-31,2017-12-29,nn4,0.65616965,0.011503916233778
2017-01-31,2017-12-29,nn5,0.74825287,0.011493253521621227
2018-01-31,2018-12-31,nn1,-0.93427896,0.014519387856125832
2018-01-31,2018-12-31,nn2,-1.2709856,0.014567824080586433
2018-01-31,2018-12-31,nn3,-1.4812231,0.014598065987229347
2018-01-31,2018-12-31,nn4,-1.0759711,0.014539769850671291
2018-01-31,2018-12-31,nn5,-1.2245893,0.014561149291694164
2019-01-31,2019-12-31,nn1,0.7016599,0.018127935007214546
2019-01-31,2019-12-31,nn2,0.4751742,0.018169283866882324
2019-01-31,2019-12-31,nn3,0.533247,0.0181586816906929
2019-01-31,2019-12-31,nn4,0.76131225,0.018117045983672142
2019-01-31,2019-12-31,nn5,0.70913434,0.01812657155096531
2020-01-31,2021-01-29,nn1,0.25898814,0.040186721831560135
2020-01-31,2021-01-29,nn2,0.331074,0.04015767574310303
2020-01-31,2021-01-29,nn3,0.55720806,0.040066566318273544
2020-01-31,2021-01-29,nn4,0.44526458,0.040111664682626724
2020-01-31,2021-01-29,nn5,0.38989782,0.04013397544622421
