val_start,val_end,test_start,test_end,best_params,r2_val,mse_val,mse_test,r2_test,method,best_learning_rate,best_depth,best_iter,best_learning_rate_huber,mse_test_huber,r2_test_huber
2003-01-31,2015-01-30,2015-02-27,2016-01-29,"{'n_estimators': 300, 'max_features': 3, 'max_depth': 1}",0.2773356067442667,0.017348185660797825,0.014855137931171774,-0.5851382093200241,RF,,,,,,
2004-02-27,2016-01-29,2016-02-29,2016-12-30,"{'n_estimators': 300, 'max_features': 3, 'max_depth': 2}",0.0731171699154709,0.016527558917568855,0.015449169125226436,1.4215557369285037,RF,,,,,,
2005-01-31,2016-12-30,2017-01-31,2017-12-29,"{'n_estimators': 300, 'max_features': 3, 'max_depth': 6}",0.2898376787133561,0.016722340568767282,0.011473257164214334,0.9209295253805316,RF,,,,,,
2006-01-31,2017-12-29,2018-01-31,2018-12-31,"{'n_estimators': 300, 'max_features': 'sqrt', 'max_depth': 6}",0.48090571051222497,0.01678186136493469,0.01448323651032594,-0.6829662884198617,RF,,,,,,
2007-01-31,2018-12-31,2019-01-31,2019-12-31,"{'n_estimators': 300, 'max_features': 'sqrt', 'max_depth': 6}",0.3413408545667074,0.017183401552902103,0.01816327659904757,0.5080765140757504,RF,,,,,,
2008-01-31,2019-12-31,2020-01-31,2021-01-29,"{'n_estimators': 300, 'max_features': 'sqrt', 'max_depth': 6}",0.502498015782149,0.017852216793645456,0.040133330557843995,0.3914979536219776,RF,,,,,,
,,2015-02-27,2016-01-29,,,,0.014853480271995068,-0.5739092826843262,GRADIENT_BOOSTED,0.1,2.0,41.0,,,
,,2016-02-29,2016-12-30,,,,0.015463169664144516,1.3322234153747559,GRADIENT_BOOSTED,0.01,1.0,31.0,,,
,,2017-01-31,2017-12-29,,,,0.01147520076483488,0.9041428565979004,GRADIENT_BOOSTED,0.01,1.0,161.0,,,
,,2018-01-31,2018-12-31,,,,0.014407617971301079,-0.15728473663330078,GRADIENT_BOOSTED,0.01,2.0,561.0,,,
,,2019-01-31,2019-12-31,,,,0.018247531726956367,0.046563148498535156,GRADIENT_BOOSTED,0.1,2.0,71.0,,,
,,2020-01-31,2021-01-29,,,,0.04026905074715614,0.054651498794555664,GRADIENT_BOOSTED,0.1,2.0,81.0,,,
,,2015-02-27,2016-01-29,,,,,,GRADIENT_BOOSTED_HUBER,,2.0,41.0,0.1,0.014685469679534435,0.563699
,,2016-02-29,2016-12-30,,,,,,GRADIENT_BOOSTED_HUBER,,1.0,41.0,0.01,0.015513216145336628,1.0128796
,,2017-01-31,2017-12-29,,,,,,GRADIENT_BOOSTED_HUBER,,1.0,21.0,0.1,0.011471358127892017,0.9373307
,,2018-01-31,2018-12-31,,,,,,GRADIENT_BOOSTED_HUBER,,2.0,31.0,0.1,0.014394206926226616,-0.06406307
,,2019-01-31,2019-12-31,,,,,,GRADIENT_BOOSTED_HUBER,,2.0,551.0,0.01,0.0183236226439476,-0.3702402
,,2020-01-31,2021-01-29,,,,,,GRADIENT_BOOSTED_HUBER,,2.0,61.0,0.1,0.0404621958732605,-0.42473078
