val_start,val_end,test_start,test_end,r2_val,mse_val,mse_test,r2_test,method,best_alpha,best_l1_ratio,huber_val,optimal_components
1995-01-31,1995-12-29,1996-01-31,1996-12-31,-0.003425457094547557,0.018366484849529845,0.02066185359346264,0.0032579704803658016,OLS,,,,
1997-01-31,1998-01-30,1998-02-27,1999-01-29,0.00641495689145144,0.02223192810673631,0.03424903329828247,0.0017917593722114322,OLS,,,,
1999-02-26,1999-12-31,2000-01-31,2000-12-29,-0.001156773799942723,0.03675099600145256,0.05076173302151905,-0.0033919379427820306,OLS,,,,
2001-01-31,2001-12-31,2002-01-31,2002-12-31,0.00189270447780443,0.051728415692473856,0.030956446110783464,0.00044733077607417293,OLS,,,,
2003-01-31,2004-01-30,2004-02-27,2004-12-31,-0.07014138655754354,0.02337379223088358,0.013113313225452715,-0.010261264877695853,OLS,,,,
2005-01-31,2005-12-30,2006-01-31,2006-12-29,-0.0012462416416854083,0.011409958684126708,0.010774377495442721,-0.0077000281509223,OLS,,,,
2007-01-31,2007-12-31,2008-01-31,2009-01-30,-0.019874311619668905,0.011167458233284787,0.0323903002052582,-0.08763329909554285,OLS,,,,
2009-02-27,2010-01-29,2010-02-26,2010-12-31,-0.044632705964285924,0.038310686779192374,0.016340323362786076,-0.01616983717666609,OLS,,,,
2011-01-31,2011-12-30,2012-01-31,2012-12-31,-0.019321977918547617,0.014503846109498265,0.012562137838852348,-0.0030634711223382904,OLS,,,,
2013-01-31,2013-12-31,2014-01-31,2015-01-30,-0.022022922030830783,0.01127158252412533,0.011277097171097433,-0.010377164997271038,OLS,,,,
2015-02-27,2016-01-29,2016-02-29,2016-12-30,-0.026273948438729322,0.014980812473679017,0.015437569137948151,-0.014084030147599513,OLS,,,,
2017-01-31,2017-12-29,2018-01-31,2018-12-31,-0.004329736732682665,0.011523889370176132,0.014647166358203628,-0.035850261203020706,OLS,,,,
2019-01-31,2019-12-31,2020-01-31,2021-01-29,-0.003914177405353048,0.01813446402664088,0.04000997423160895,-0.011863813339150875,OLS,,,,
1995-01-31,1995-12-29,1996-01-31,1996-12-31,-0.0038058630420383377,0.01837344771859188,0.02066238436263724,0.0032323658102958452,OLS_H,,,,
1997-01-31,1998-01-30,1998-02-27,1999-01-29,0.00633669211864174,0.02223367931748013,0.0342480298898452,0.0018210043019026845,OLS_H,,,,
1999-02-26,1999-12-31,2000-01-31,2000-12-29,-0.0015401525280176465,0.036765069271964476,0.05074028142668442,-0.002967910707463828,OLS_H,,,,
2001-01-31,2001-12-31,2002-01-31,2002-12-31,0.0016807083949167412,0.051739402709150305,0.030939839567036685,0.0009835394567888622,OLS_H,,,,
