test_start,test_end,architecture,layers,best_lr,test_mse,test_r2
1996-01-31,1996-12-31,nn1,[32],0.001,0.020636267960071564,0.004492223262786865
1996-01-31,1996-12-31,nn2,"[32, 16]",0.01,0.020703360438346863,0.001255631446838379
1996-01-31,1996-12-31,nn3,"[32, 16, 8]",0.01,0.020733658224344254,-0.00020599365234375
1996-01-31,1996-12-31,nn4,"[32, 16, 8, 4]",0.01,0.02073521539568901,-0.0002810955047607422
1996-01-31,1996-12-31,nn5,"[32, 16, 8, 4, 2]",0.01,0.020740533247590065,-0.0005376338958740234
1998-02-27,1999-01-29,nn1,[32],0.001,0.03427046537399292,0.0011670589447021484
1998-02-27,1999-01-29,nn2,"[32, 16]",0.001,0.034312065690755844,-4.5418739318847656e-05
1998-02-27,1999-01-29,nn3,"[32, 16, 8]",0.01,0.03443533554673195,-0.0036382675170898438
1998-02-27,1999-01-29,nn4,"[32, 16, 8, 4]",0.001,0.034323617815971375,-0.0003821849822998047
1998-02-27,1999-01-29,nn5,"[32, 16, 8, 4, 2]",0.001,0.03441694378852844,-0.0031023025512695312
2000-01-31,2000-12-29,nn1,[32],0.01,0.05104586482048035,-0.009008288383483887
2000-01-31,2000-12-29,nn2,"[32, 16]",0.01,0.050904612988233566,-0.006216168403625488
2000-01-31,2000-12-29,nn3,"[32, 16, 8]",0.01,0.05110761523246765,-0.010228991508483887
2000-01-31,2000-12-29,nn4,"[32, 16, 8, 4]",0.001,0.050959035754203796,-0.007292032241821289
2000-01-31,2000-12-29,nn5,"[32, 16, 8, 4, 2]",0.001,0.05095864459872246,-0.007284283638000488
2002-01-31,2002-12-31,nn1,[32],0.001,0.031144410371780396,-0.005621910095214844
2002-01-31,2002-12-31,nn2,"[32, 16]",0.001,0.031113427132368088,-0.004621386528015137
2002-01-31,2002-12-31,nn3,"[32, 16, 8]",0.01,0.03144020587205887,-0.015172958374023438
2002-01-31,2002-12-31,nn4,"[32, 16, 8, 4]",0.001,0.031339604407548904,-0.011924386024475098
2002-01-31,2002-12-31,nn5,"[32, 16, 8, 4, 2]",0.01,0.03136400878429413,-0.012712478637695312
2004-02-27,2004-12-31,nn1,[32],0.01,0.01312484685331583,-0.011149764060974121
2004-02-27,2004-12-31,nn2,"[32, 16]",0.01,0.01303564477711916,-0.004277586936950684
2004-02-27,2004-12-31,nn3,"[32, 16, 8]",0.001,0.013030622154474258,-0.0038906335830688477
2004-02-27,2004-12-31,nn4,"[32, 16, 8, 4]",0.01,0.012981075793504715,-7.355213165283203e-05
2004-02-27,2004-12-31,nn5,"[32, 16, 8, 4, 2]",0.001,0.016106316819787025,-0.24084484577178955
2006-01-31,2006-12-29,nn1,[32],0.001,0.010723127983510494,-0.00290679931640625
2006-01-31,2006-12-29,nn2,"[32, 16]",0.01,0.010755863040685654,-0.005968451499938965
2006-01-31,2006-12-29,nn3,"[32, 16, 8]",0.001,0.010713677853345871,-0.0020227432250976562
2006-01-31,2006-12-29,nn4,"[32, 16, 8, 4]",0.01,0.01072082482278347,-0.0026913881301879883
2006-01-31,2006-12-29,nn5,"[32, 16, 8, 4, 2]",0.01,0.01076533179730177,-0.006853818893432617
2008-01-31,2009-01-30,nn1,[32],0.001,0.032188594341278076,-0.08086025714874268
2008-01-31,2009-01-30,nn2,"[32, 16]",0.01,0.03225840628147125,-0.08320438861846924
2008-01-31,2009-01-30,nn3,"[32, 16, 8]",0.001,0.032437220215797424,-0.08920884132385254
2008-01-31,2009-01-30,nn4,"[32, 16, 8, 4]",0.001,0.03234739974141121,-0.08619272708892822
2008-01-31,2009-01-30,nn5,"[32, 16, 8, 4, 2]",0.01,0.03234533220529556,-0.08612322807312012
2010-02-26,2010-12-31,nn1,[32],0.01,0.016242988407611847,-0.010116815567016602
2010-02-26,2010-12-31,nn2,"[32, 16]",0.01,0.01625876873731613,-0.011098265647888184
2010-02-26,2010-12-31,nn3,"[32, 16, 8]",0.01,0.01623658277094364,-0.00971841812133789
2010-02-26,2010-12-31,nn4,"[32, 16, 8, 4]",0.01,0.01626543328166008,-0.011512398719787598
2010-02-26,2010-12-31,nn5,"[32, 16, 8, 4, 2]",0.01,0.016313567757606506,-0.014506101608276367
2012-01-31,2012-12-31,nn1,[32],0.001,0.012570956721901894,-0.0037676095962524414
2012-01-31,2012-12-31,nn2,"[32, 16]",0.001,0.012534097768366337,-0.0008244514465332031
2012-01-31,2012-12-31,nn3,"[32, 16, 8]",0.01,0.012568198144435883,-0.0035474300384521484
2012-01-31,2012-12-31,nn4,"[32, 16, 8, 4]",0.01,0.012580017559230328,-0.004491090774536133
2012-01-31,2012-12-31,nn5,"[32, 16, 8, 4, 2]",0.001,0.012567505240440369,-0.003491997718811035
2014-01-31,2015-01-30,nn1,[32],0.01,0.01138420682400465,-0.0199737548828125
2014-01-31,2015-01-30,nn2,"[32, 16]",0.01,0.011298528872430325,-0.012297391891479492
2014-01-31,2015-01-30,nn3,"[32, 16, 8]",0.01,0.011370670981705189,-0.01876091957092285
2014-01-31,2015-01-30,nn4,"[32, 16, 8, 4]",0.01,0.011322217993438244,-0.014419794082641602
2014-01-31,2015-01-30,nn5,"[32, 16, 8, 4, 2]",0.01,0.011289709247648716,-0.011507153511047363
2016-02-29,2016-12-30,nn1,[32],0.001,0.015442381612956524,-0.014400243759155273
2016-02-29,2016-12-30,nn2,"[32, 16]",0.01,0.015538543462753296,-0.02071678638458252
2016-02-29,2016-12-30,nn3,"[32, 16, 8]",0.01,0.015474393963813782,-0.016503095626831055
2016-02-29,2016-12-30,nn4,"[32, 16, 8, 4]",0.01,0.01573859713971615,-0.033858299255371094
2016-02-29,2016-12-30,nn5,"[32, 16, 8, 4, 2]",0.001,0.01558899786323309,-0.02403128147125244
2018-01-31,2018-12-31,nn1,[32],0.001,0.01459081843495369,-0.03186535835266113
2018-01-31,2018-12-31,nn2,"[32, 16]",0.001,0.014626605436205864,-0.03439629077911377
2018-01-31,2018-12-31,nn3,"[32, 16, 8]",0.001,0.014630882069468498,-0.03469860553741455
2018-01-31,2018-12-31,nn4,"[32, 16, 8, 4]",0.001,0.014700141735374928,-0.0395967960357666
2018-01-31,2018-12-31,nn5,"[32, 16, 8, 4, 2]",0.001,0.014708030968904495,-0.04015457630157471
2020-01-31,2021-01-29,nn1,[32],0.01,0.039942096918821335,-0.0101470947265625
2020-01-31,2021-01-29,nn2,"[32, 16]",0.001,0.03990006074309349,-0.009083986282348633
2020-01-31,2021-01-29,nn3,"[32, 16, 8]",0.01,0.039816465228796005,-0.006969928741455078
2020-01-31,2021-01-29,nn4,"[32, 16, 8, 4]",0.01,0.03980638086795807,-0.006714820861816406
2020-01-31,2021-01-29,nn5,"[32, 16, 8, 4, 2]",0.001,0.03980822488665581,-0.0067615509033203125
